TOKEN_TYPE                    CONTENT                       

Delimiter                     #                             
Identifier                    include                       
Operator                      <                             
Identifier                    stdio                         
Delimiter                     .                             
Identifier                    h                             
Operator                      >                             
Keyword                       const                         
Keyword                       int                           
Identifier                    CNT_NUM                       
Operator                      =                             
Number                        5                             
Delimiter                     ;                             
Keyword                       int                           
Error                         as$aa                         Line: 5
Delimiter                     ;                             
Keyword                       int                           
Error                         3a                            Line: 6
Delimiter                     ;                             
Keyword                       int                           
Identifier                    main                          
Delimiter                     (                             
Delimiter                     )                             
Delimiter                     {                             
Keyword                       int                           
Identifier                    a                             
Delimiter                     [                             
Identifier                    CNT_NUM                       
Delimiter                     ]                             
Delimiter                     ;                             
Keyword                       for                           
Delimiter                     (                             
Keyword                       int                           
Identifier                    i                             
Operator                      =                             
Number                        0                             
Delimiter                     ;                             
Identifier                    i                             
Operator                      <                             
Identifier                    CNT_NUM                       
Delimiter                     ;                             
Identifier                    i                             
Operator                      ++                            
Delimiter                     )                             
Delimiter                     {                             
Identifier                    a                             
Delimiter                     [                             
Identifier                    i                             
Delimiter                     ]                             
Operator                      =                             
Identifier                    i                             
Delimiter                     ;                             
Delimiter                     }                             
Keyword                       for                           
Delimiter                     (                             
Keyword                       int                           
Identifier                    i                             
Operator                      =                             
Number                        0                             
Delimiter                     ;                             
Identifier                    i                             
Operator                      <                             
Identifier                    CNT_NUM                       
Operator                      -                             
Number                        1                             
Delimiter                     ;                             
Identifier                    i                             
Operator                      ++                            
Delimiter                     )                             
Delimiter                     {                             
Identifier                    printf                        
Delimiter                     (                             
String                        %d\"test\"\t                  
Delimiter                     ,                             
Identifier                    a                             
Delimiter                     [                             
Identifier                    i                             
Delimiter                     ]                             
Delimiter                     )                             
Delimiter                     ;                             
Delimiter                     }                             
Identifier                    printf                        
Delimiter                     (                             
String                        %d\n                          
Delimiter                     ,                             
Identifier                    a                             
Delimiter                     [                             
Identifier                    CNT_NUM                       
Operator                      -                             
Number                        1                             
Delimiter                     ]                             
Delimiter                     )                             
Delimiter                     ;                             
Delimiter                     }                             


STATISTICS

ITEM                          COUNT                         
Identifier                    16                            
Number                        5                             
Operator                      12                            
Delimiter                     39                            
Keyword                       10                            
Line                          19                            
Total character number        187                           


ID_TABLE

203            CNT_NUM
205            a
202            h
206            i
200            include
204            main
207            printf
201            stdio
